disc_id;freedbdiscid;"artist_name";"disc_title";"genre_title";"disc_released";disc_tracks;disc_seconds;"disc_language"
2;704530;"Kottans Kapelle";"Kottans Kapelle";"Blues";;18;2752;
3;710162;"Various";"Swinging Mademoiselles";"Jazz";"2005";18;2774;
4;712466;"Etta James";"The Best Of The Modern Years";"Rhythm And Blues";"2005";18;2783;
5;720146;"Fats Domino";"I'M Walking";"Blues";"1999";18;2813;
6;727570;"Albert Collins+Henry Haynes";"Kangaroo Shuffle";"Blues";"1991";18;2842;
7;727827;"Tenacious D";"Tenacious D";"Humour";"2001";19;2843;"eng"
8;734738;"Frank Sinatra";"Selection Of Frank Sinatra-Cd1 (Swing)";"Swing";"1997";18;2870;"eng"
9;736531;"Jimmy Reed";"His Greatest Recordings";"Blues";"1999";19;2877;
10;748306;"Brownie Mcghee";"Born For Bad Luck";"Blues";"2004";18;2923;
11;751378;"Brownie Mcghee";"The Ultimate Jazz Archive Set13";"Blues";;18;2935;
12;751379;"Various";"Stoned To The Bone";"Blues";"1997";19;2935;
13;753170;"Sonny Terry And Brownie Mc Ghee";"Hometown Blues";"Blues";;18;2942;
14;753940;"Various Artists";"Millionaires Only-Vol1";"Blues";;20;2945;"eng"
15;754451;"Various";"Texas Guitar Killers (Disc2)";"Blues";;19;2947;
16;756242;"B. B. King";"The King Of The Blues Guitar";"Blues";;18;2954;
17;758547;"Various";"Senior Prom-Disc2";"Oldies";"1987";19;2963;"eng"
18;765716;"Div.";"Bluegras Originals";"Blues";;20;2991;
19;767250;"Sonny Terry";"The Blues";"Blues";"2004";18;2997;
20;767762;"J. J. Cale";"Gold (Cd1)";"Rock";"2007";18;2999;
21;769810;"Edwin Starr";"Early Classics";"Blues";"1996";18;3007;
22;776465;"Fats Waller";"Portrait";"Jazz";"2002";17;3033;"eng"
23;778769;"Memphis Archives";"Memphis Country Blues Vol1";"Blues";"1994";17;3042;
24;781843;"Ella Fitzgerald";"The Legends Of Jazz";"Jazz";;19;3054;
25;783376;"John Sebastian";"Real Live (1971) Flac";"Blues";;16;3060;
26;784147;"Roy Orbison";"Greatest Hits";"Blues";"1986";19;3063;
27;785682;"Count Basie";"Vol.04-Music Makers";"Jazz";;18;3069;
28;785938;"Louis Jordan";"Five Guys Named Moe (Original Decca Recordings Vol2)";"Jazz";"1992";18;3070;"eng"
29;786450;"Various";"Rhythm+Blues Classics";"Rhythm+Blues";"1996";18;3072;"eng"
30;789008;"The Frequency Benders";"Tuning In";"Rock";"2000";16;3082;
31;794642;"Benny Goodman";"The Essential Benny Goodman-Cd1";"Jazz";"2003";18;3104;"eng"
32;799764;"Fats Domino";"Rockin'And Rollin'";"Rock+Roll";;20;3124;
33;800274;"Memphis Minnie";"The Queen Of The Blues1929-1941";"Blues";"1997";18;3126;"eng"
34;801810;"Various";"Gospel Vol.2-Gospel Quartets-1921-1942";"Gospel";"1994";18;3132;"eng"
35;803600;"Rod Stewart";"As Time Goes By. The Great American Songbook Volume2";"Blues";"2003";16;3139;"eng"
36;806930;"Blues And Soul";"Volume3";"Blues";;18;3152;
37;812052;"Various";"Blues Classics The Best Of (Cd2)";"Blues";"2003";20;3172;
38;812306;"Blind Blake";"Best Of";"Blues";;18;3173;
39;817170;"Jane Birkin";"Ballade De Johnny-Jane";"Chanson";"1992";18;3192;
40;817171;"Howlin'Wolf";"Howlin'For My Baby";"Blues";;19;3192;
41;818194;"Blues Connection (Vol.1)";"How Long, How Long Blues (Disc1)";"Blues";;18;3196;
42;819730;"Buddy Guy";"Stone Crazy-The Blues Collection4";"Blues";"1994";18;3202;
43;820242;"Various-Jazz After Hours";"Smoothies Vol B.";"Jazz";;18;3204;
